Country,Clicks,Impressions,CTR,Position
United States,4,428,0.93%,54.14
United Kingdom,0,128,0%,59.15
India,0,70,0%,41.41
Australia,0,52,0%,58.12
Canada,0,51,0%,59.82
Brazil,0,24,0%,62.25
Philippines,0,21,0%,67.48
Mexico,0,12,0%,66.25
Turkey,0,12,0%,67.75
Indonesia,0,11,0%,54
France,0,9,0%,49.11
Vietnam,0,9,0%,65.11
Malaysia,0,8,0%,71.75
Bangladesh,0,7,0%,59.43
Spain,0,5,0%,49.4
Georgia,0,4,0%,5
Czechia,0,4,0%,5.75
Russia,0,4,0%,48.75
Pakistan,0,3,0%,25
Thailand,0,3,0%,62.67
Jordan,0,3,0%,74
New Zealand,0,3,0%,74
Morocco,0,3,0%,78
Singapore,0,2,0%,1.5
Nigeria,0,2,0%,4
Hong Kong,0,2,0%,4.5
Serbia,0,2,0%,8
Norway,0,2,0%,33
Netherlands,0,2,0%,34.5
Saudi Arabia,0,2,0%,43.5
Ireland,0,2,0%,61
Algeria,0,2,0%,70
Chile,0,1,0%,1
United Arab Emirates,0,1,0%,4
Belgium,0,1,0%,4
Germany,0,1,0%,7
Egypt,0,1,0%,31
Iraq,0,1,0%,41
South Korea,0,1,0%,41
Italy,0,1,0%,45
Slovakia,0,1,0%,46
